"","dyadID","a2pSOO_A","a2pSOO_P","age_A","age_P","authenticity_A","authenticity_P","avg_sexism_A","avg_sexism_P","careerasp_A","careerasp_P","gender_A","gender_P","howbody_avg_A","howbody_avg_P","inter_1_A","inter_1_P","inter_10_A","inter_10_P","inter_3_A","inter_3_P","inter_5_A","inter_5_P","inter_6_A","inter_6_P","inter_7_A","inter_7_P","inter_9_A","inter_9_P","interaux_5_A","interaux_5_P","interaux_6_A","interaux_6_P","metaSOO_A","metaSOO_P","partID_A","partID_P","partnum_A","partnum_P","personE_A","personE_P","race_A","race_P","relag_A","relag_P","sexism_logel_A","sexism_logel_P","sexor_A","sexor_P","trigram_score_A","trigram_score_P","TSO_A","TSO_P","smith_or_clark"
"55",126,-3.57142857142857,-1.51428571428571,18,18,5.66666666666667,3.88888888888889,2.75,NA,3.3,3.4,2,2,1,1,4,3,6,4,6,4,7,5,3,5,6,5,5,2,7,3,7,4,-2.37142857142857,-0.457142857142857,71,72,1,1,-1,1,3,3,5,3.66666666666667,2.5,3.16666666666667,3,1,6,6,-1,1,"Smith"
"56",126,-1.51428571428571,-3.57142857142857,18,18,3.88888888888889,5.66666666666667,NA,2.75,3.4,3.3,2,2,1,1,3,4,4,6,4,6,5,7,5,3,5,6,2,5,3,7,4,7,-0.457142857142857,-2.37142857142857,72,71,2,2,1,-1,3,3,3.66666666666667,5,3.16666666666667,2.5,1,3,6,6,1,-1,"Smith"
"57",127,-2.71428571428571,-1.42857142857143,20,19,5.66666666666667,5.66666666666667,3,2.75,3.8,3.5,2,2,2.5,1.5,6,6,3,5,6,5,6,7,6,6,6,6,6,6,6,4,6,6,-4.25714285714286,-0.714285714285714,74,73,2,2,1,-1,1,3,4.88888888888889,5.66666666666667,3.16666666666667,2.66666666666667,3,5,4,5,NA,0.6,"Smith"
"58",127,-1.42857142857143,-2.71428571428571,19,20,5.66666666666667,5.66666666666667,2.75,3,3.5,3.8,2,2,1.5,2.5,6,6,5,3,5,6,7,6,6,6,6,6,6,6,4,6,6,6,-0.714285714285714,-4.25714285714286,73,74,1,1,-1,1,3,1,5.66666666666667,4.88888888888889,2.66666666666667,3.16666666666667,5,3,5,4,0.6,NA,"Smith"
"59",128,-2.85714285714286,-2.57142857142857,18,19,7,3.66666666666667,2.6875,3.4375,4.2,4.6,2,2,2,1,7,3,7,3,7,3,7,4,7,4,7,3,7,4,7,4,7,5,-3.45714285714286,-2.71428571428571,75,76,1,1,-1,1,1,4,5.44444444444444,5.77777777777778,2,3.83333333333333,1,1,7,0,0.199999999999999,-3.8,"Smith"
"60",128,-2.57142857142857,-2.85714285714286,19,18,3.66666666666667,7,3.4375,2.6875,4.6,4.2,2,2,1,2,3,7,3,7,3,7,4,7,4,7,3,7,4,7,4,7,5,7,-2.71428571428571,-3.45714285714286,76,75,2,2,1,-1,4,1,5.77777777777778,5.44444444444444,3.83333333333333,2,1,1,0,7,-3.8,0.199999999999999,"Smith"
"61",130,-1.65714285714286,-0.8,20,19,6.77777777777778,6.55555555555556,3.0625,3.5,4.8,4.6,2,2,1,2,7,4,7,7,7,7,7,7,7,6,7,7,5,7,7,7,7,7,-1.57142857142857,0.285714285714286,80,79,2,2,1,-1,4,1,5.77777777777778,4.77777777777778,3.33333333333333,4.66666666666667,1,1,1,3,1.4,-2.2,"Smith"
"62",130,-0.8,-1.65714285714286,19,20,6.55555555555556,6.77777777777778,3.5,3.0625,4.6,4.8,2,2,2,1,4,7,7,7,7,7,7,7,6,7,7,7,7,5,7,7,7,7,0.285714285714286,-1.57142857142857,79,80,1,1,-1,1,1,4,4.77777777777778,5.77777777777778,4.66666666666667,3.33333333333333,1,1,3,1,-2.2,1.4,"Smith"
"63",131,-1.6,-1.2,19,20,5.55555555555556,4,3.19444444444444,3.19444444444444,4.1,4.5,2,2,1.5,3.5,5,5,5,2,5,4,6,6,5,2,6,7,5,3,7,4,6,3,-1.6,0.114285714285714,83,82,2,2,1,-1,3,2,5.55555555555556,4.22222222222222,3,3,5,5,10,10,-4.2,-0.199999999999999,"Smith"
"64",131,-1.2,-1.6,20,19,4,5.55555555555556,3.19444444444444,3.19444444444444,4.5,4.1,2,2,3.5,1.5,5,5,2,5,4,5,6,6,2,5,7,6,3,5,4,7,3,6,0.114285714285714,-1.6,82,83,1,1,-1,1,2,3,4.22222222222222,5.55555555555556,3,3,5,5,10,10,-0.199999999999999,-4.2,"Smith"
