"partID","dyadID","trigram","correct_response","response"
"58","22","QUACK:POND:WADDLE","Duck","duck"
"58","22","ATHLETES:WEB:RABBIT","Foot",""
"58","22","HONEY:SWARM:STING","Bee","bee"
"58","22","MATCHES:SMOKE:BUSH","Fire","fire"
"58","22","CHOCOLATE:FORTUNE:TIN","Cookie","cookie"
"58","22","CURIOSITY:NAP:WHISKERS","Cat","cat"
"58","22","STALK:TRAINER:KING","Lion",""
"58","22","SURPRISE:LINE:BIRTHDAY","Party","party"
"58","22","RED:GO:CAR","Stop","light"
"58","22","MOUSE : SHARP : BLUE","Cheese",""
"59","22","QUACK:POND:WADDLE","Duck","duck"
"59","22","ATHLETES:WEB:RABBIT","Foot",""
"59","22","HONEY:SWARM:STING","Bee","bee"
"59","22","MATCHES:SMOKE:BUSH","Fire","fire"
"59","22","CHOCOLATE:FORTUNE:TIN","Cookie","cookie"
"59","22","CURIOSITY:NAP:WHISKERS","Cat","cat"
"59","22","STALK:TRAINER:KING","Lion","dog"
"59","22","SURPRISE:LINE:BIRTHDAY","Party","gift"
"59","22","RED:GO:CAR","Stop","bag"
"59","22","MOUSE : SHARP : BLUE","Cheese","trap"
"60","23","QUACK:POND:WADDLE","Duck",""
"60","23","ATHLETES:WEB:RABBIT","Foot",""
"60","23","HONEY:SWARM:STING","Bee","bee"
"60","23","MATCHES:SMOKE:BUSH","Fire",""
"60","23","CHOCOLATE:FORTUNE:TIN","Cookie","candy"
"60","23","CURIOSITY:NAP:WHISKERS","Cat","cat"
"60","23","STALK:TRAINER:KING","Lion",""
"60","23","SURPRISE:LINE:BIRTHDAY","Party",""
"60","23","RED:GO:CAR","Stop","light"
"60","23","MOUSE : SHARP : BLUE","Cheese",""
"61","23","QUACK:POND:WADDLE","Duck",""
"61","23","ATHLETES:WEB:RABBIT","Foot","foot"
"61","23","HONEY:SWARM:STING","Bee","bee"
"61","23","MATCHES:SMOKE:BUSH","Fire","f"
"61","23","CHOCOLATE:FORTUNE:TIN","Cookie","cookies/cookie's"
"61","23","CURIOSITY:NAP:WHISKERS","Cat","tiny"
"61","23","STALK:TRAINER:KING","Lion","annoying"
"61","23","SURPRISE:LINE:BIRTHDAY","Party",""
"61","23","RED:GO:CAR","Stop","cart/"
"61","23","MOUSE : SHARP : BLUE","Cheese","trap"
"65","24","QUACK:POND:WADDLE","Duck",""
"65","24","ATHLETES:WEB:RABBIT","Foot",""
"65","24","HONEY:SWARM:STING","Bee","bee"
"65","24","MATCHES:SMOKE:BUSH","Fire","fire"
"65","24","CHOCOLATE:FORTUNE:TIN","Cookie",""
"65","24","CURIOSITY:NAP:WHISKERS","Cat",""
"65","24","STALK:TRAINER:KING","Lion",""
"65","24","SURPRISE:LINE:BIRTHDAY","Party",""
"65","24","RED:GO:CAR","Stop","light"
"65","24","MOUSE : SHARP : BLUE","Cheese",""
"66","24","QUACK:POND:WADDLE","Duck",""
"66","24","ATHLETES:WEB:RABBIT","Foot",""
"66","24","HONEY:SWARM:STING","Bee",""
"66","24","MATCHES:SMOKE:BUSH","Fire",""
"66","24","CHOCOLATE:FORTUNE:TIN","Cookie","cookie"
"66","24","CURIOSITY:NAP:WHISKERS","Cat",""
"66","24","STALK:TRAINER:KING","Lion",""
"66","24","SURPRISE:LINE:BIRTHDAY","Party","party"
"66","24","RED:GO:CAR","Stop",""
"66","24","MOUSE : SHARP : BLUE","Cheese",""
"69","25","QUACK:POND:WADDLE","Duck","duck"
"69","25","ATHLETES:WEB:RABBIT","Foot",""
"69","25","HONEY:SWARM:STING","Bee","bee"
"69","25","MATCHES:SMOKE:BUSH","Fire","fire"
"69","25","CHOCOLATE:FORTUNE:TIN","Cookie","cookie"
"69","25","CURIOSITY:NAP:WHISKERS","Cat",""
"69","25","STALK:TRAINER:KING","Lion","dom"
"69","25","SURPRISE:LINE:BIRTHDAY","Party","cake"
"69","25","RED:GO:CAR","Stop","pool"
"69","25","MOUSE : SHARP : BLUE","Cheese","tooth"
"70","25","QUACK:POND:WADDLE","Duck",""
"70","25","ATHLETES:WEB:RABBIT","Foot",""
"70","25","HONEY:SWARM:STING","Bee","bee"
"70","25","MATCHES:SMOKE:BUSH","Fire","fire"
"70","25","CHOCOLATE:FORTUNE:TIN","Cookie","cookie"
"70","25","CURIOSITY:NAP:WHISKERS","Cat",""
"70","25","STALK:TRAINER:KING","Lion",""
"70","25","SURPRISE:LINE:BIRTHDAY","Party",""
"70","25","RED:GO:CAR","Stop","light"
"70","25","MOUSE : SHARP : BLUE","Cheese",""
"71","26","QUACK:POND:WADDLE","Duck","duck"
"71","26","ATHLETES:WEB:RABBIT","Foot",""
"71","26","HONEY:SWARM:STING","Bee","Bee"
"71","26","MATCHES:SMOKE:BUSH","Fire",""
"71","26","CHOCOLATE:FORTUNE:TIN","Cookie","Cookie"
"71","26","CURIOSITY:NAP:WHISKERS","Cat","Cat"
"71","26","STALK:TRAINER:KING","Lion",""
"71","26","SURPRISE:LINE:BIRTHDAY","Party","Party"
"71","26","RED:GO:CAR","Stop",""
"71","26","MOUSE : SHARP : BLUE","Cheese","Cheese"
"72","26","QUACK:POND:WADDLE","Duck","duck"
"72","26","ATHLETES:WEB:RABBIT","Foot","foot"
"72","26","HONEY:SWARM:STING","Bee","bee"
