partID,dyadID,Sentence,Stem,Target,Hannah,Jennie,Amelia,Notes
12.00,6.00,5.00,Jenny went home to cook dinner ,by herself,3.00,2,3,
12.00,6.00,6.00,Katherine baby-sat the neighbor's kids ,for a measely amount of money,3.00,3,3,
12.00,6.00,7.00,Tom bottle fed the baby ,sideways,5.00,5,3,
12.00,6.00,8.00,Bert changed the oil ,wrong,2.00,2,2,
14.00,7.00,1.00,Linda swatted at the flies ,in order for her to enjoy her meal in peace.,3.00,3,3,
14.00,7.00,2.00,Helen crammed for the test ,because she was up late all last week with her boyfriend.,4.00,4,2,
14.00,7.00,3.00,Shirley asked for help getting home ,because she was lost.,4.00,4,5,
14.00,7.00,4.00,Sam read the newspaper ,"carefully, as it was his first time buying his own newspaper.",3.00,3,3,
14.00,7.00,5.00,Jenny went home to cook dinner ,to help out the family.,5.00,4,5,
14.00,7.00,6.00,Katherine baby-sat the neighbor's kids ,to make money.,2.00,3,3,
14.00,7.00,7.00,Tom bottle fed the baby ,so it would stop crying.,3.00,3,3,
14.00,7.00,8.00,Bert changed the oil ,to make his car more efficient.,3.00,3,4,
13.00,7.00,1.00,Linda swatted at the flies ,flying around her head.,3.00,3,3,
13.00,7.00,2.00,Helen crammed for the test ,two hours beforehand.,3.00,3,3,
13.00,7.00,3.00,Shirley asked for help getting home ,after a long night out.,3.00,3,1,
13.00,7.00,4.00,Sam read the newspaper ,while having his morning coffee.,4.00,3,3,
13.00,7.00,5.00,Jenny went home to cook dinner ,after work.,1.00,1,1,
13.00,7.00,6.00,Katherine baby-sat the neighbor's kids ,every Thursday night.,3.00,3,3,
13.00,7.00,7.00,Tom bottle fed the baby ,while his brother was doing yard work.,3.00,3,1,
13.00,7.00,8.00,Bert changed the oil ,before his long trip.,3.00,3,3,
16.00,8.00,1.00,Linda swatted at the flies ,with a fly swatter,3.00,3,3,
16.00,8.00,2.00,Helen crammed for the test ,when she should have managed her time well,3.00,4,4,
16.00,8.00,3.00,Shirley asked for help getting home ,because she was drunk,4.00,3,1,
16.00,8.00,4.00,Sam read the newspaper ,and was annoyed with the yellow journalism,3.00,3,3,
16.00,8.00,5.00,Jenny went home to cook dinner ,for her family,5.00,4,5,
16.00,8.00,6.00,Katherine baby-sat the neighbor's kids ,while their parents were on a date,3.00,3,3,
16.00,8.00,7.00,Tom bottle fed the baby ,while his wife slept,4.00,4,1,
16.00,8.00,8.00,Bert changed the oil ,of his car,3.00,3,3,
15.00,8.00,1.00,Linda swatted at the flies ,because she was upset.,3.00,3,4,
15.00,8.00,2.00,Helen crammed for the test ,the night before.,3.00,3,3,
15.00,8.00,3.00,Shirley asked for help getting home ,from her best friend.,3.00,3,3,
15.00,8.00,4.00,Sam read the newspaper ,while on the train this morning.,3.00,3,3,
15.00,8.00,5.00,Jenny went home to cook dinner ,for her and her family.,5.00,4,5,
15.00,8.00,6.00,Katherine baby-sat the neighbor's kids ,to earn from extra money.,2.00,3,3,
15.00,8.00,7.00,Tom bottle fed the baby ,while his wife was busy.,4.00,4,1,
15.00,8.00,8.00,Bert changed the oil ,in his car.,3.00,3,3,
17.00,9.00,1.00,Linda swatted at the flies ,to kill them.,1.00,3,2,
17.00,9.00,2.00,Helen crammed for the test ,that she has in four hours.,3.00,3,3,
17.00,9.00,3.00,Shirley asked for help getting home ,because her GPS is not working.,4.00,3,3,
17.00,9.00,4.00,Sam read the newspaper ,to find job opportunities.,3.00,3,3,
17.00,9.00,5.00,Jenny went home to cook dinner ,for her family.,5.00,4,5,
17.00,9.00,6.00,Katherine baby-sat the neighbor's kids ,and was tired after.,3.00,4,2,
17.00,9.00,7.00,Tom bottle fed the baby ,because he wanted to help out.,3.00,2,2,
